Protocol,Flow Duration,Total Fwd Packets,Total Backward Packets,Fwd Packets Length Total,Bwd Packets Length Total,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Packet Length Min,Packet Length Max,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWE Flag Count,ECE Flag Count,Down/Up Ratio,Avg Packet Size,Avg Fwd Segment Size,Avg Bwd Segment Size,Fwd Avg Bytes/Bulk,Fwd Avg Packets/Bulk,Fwd Avg Bulk Rate,Bwd Avg Bytes/Bulk,Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,Init Fwd Win Bytes,Init Bwd Win Bytes,Fwd Act Data Packets,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
17,72185,4,2,184,472,46,46,46.0,0.0,236,236,236.0,0.0,9087.760615,83.11976172,14437.0,20147.357,41624,4,30557,10185.667,17635.164,30549,4,4,4.0,0.0,4,4,0,0,0,0,104,64,55.413174,27.706587,46,236,100.28571,92.71051,8595.238,0,0,0,0,0,0,0,0,0,117.0,46.0,236.0,0,0,0,0,0,0,4,184,2,472,-1,-1,3,20,0.0,0.0,0,0,0.0,0.0,0,0,Benign
17,214,2,2,94,350,47,47,47.0,0.0,175,175,175.0,0.0,2074766.355,18691.58879,71.333336,117.491844,207,3,3,3.0,0.0,3,3,4,4.0,0.0,4,4,0,0,0,0,64,64,9345.794,9345.794,47,175,98.2,70.10849,4915.2,0,0,0,0,0,0,0,0,1,122.75,47.0,175.0,0,0,0,0,0,0,2,94,2,350,-1,-1,1,32,0.0,0.0,0,0,0.0,0.0,0,0,Benign
6,65242890,21,20,896,10137,313,0,42.666668,83.4993,1418,0,506.85,631.7854,169.1065494,0.628420967,1631072.2,9252404.0,58400000,1,65200000,3262144.5,13100000.0,58400000,1,65200000,3429777.8,13400000.0,58400000,1,0,0,0,0,692,648,0.32187414,0.3065468,0,1418,262.6905,493.89563,243932.9,0,0,0,1,0,0,0,0,0,269.09756,42.666668,506.85,0,0,0,0,0,0,21,896,20,10137,29200,357,7,32,244609.0,148933.66,349921,139297,32300000.0,36800000.0,58400000,6323401,Benign
6,4516866,5,0,30,0,6,6,6.0,0.0,0,0,0.0,0.0,6.6417733,1.106962217,1129216.5,2257704.2,4515773,3,4516866,1129216.5,2257704.2,4515773,3,0,0.0,0.0,0,0,0,0,0,0,100,0,1.1069622,0.0,6,6,6.0,0.0,0.0,0,0,0,0,1,0,0,0,0,7.2,6.0,0.0,0,0,0,0,0,0,5,30,0,0,256,-1,4,20,0.0,0.0,0,0,0.0,0.0,0,0,DDoS
6,62171,49,30,2488,3188,194,0,50.77551,65.998505,440,0,106.26667,130.70392,91296.58522,1270.688906,797.0641,4928.9663,42310,1,62171,1295.2291,7030.332,48004,1,61995,2137.7585,8006.964,42355,48,0,0,0,0,1592,976,788.1488,482.5401,0,440,70.95,98.526855,9707.542,0,0,0,1,0,0,0,0,0,71.8481,50.77551,106.26667,0,0,0,0,0,0,49,2488,30,3188,65535,269,22,32,0.0,0.0,0,0,0.0,0.0,0,0,Benign
6,96,1,1,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,20833.33333,96.0,0.0,96,96,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,32,32,10416.667,10416.667,0,0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,332,229,0,32,0.0,0.0,0,0,0.0,0.0,0,0,Benign
6,65401108,16,14,805,4204,459,0,50.3125,123.90304,1416,0,300.2857,511.735,76.58891651,0.458707825,2255210.5,4110792.2,10000000,7,65400000,4360074.0,4965146.0,10100000,98,65300000,5024130.0,5032038.5,10100000,48,0,0,0,0,520,456,0.24464418,0.21406366,0,1416,161.58064,370.95236,137605.66,0,0,0,1,0,0,0,0,0,166.96666,50.3125,300.2857,0,0,0,0,0,0,16,805,14,4204,29200,247,3,32,146858.67,143128.23,438986,87328,10000000.0,26433.326,10000000,9960020,Benign
6,99827706,6,7,405,11595,393,0,67.5,159.48888,5792,0,1656.4286,2120.7322,120.2071096,0.130224369,8318975.5,28500000.0,98700000,28,99700000,19900000.0,44000000.0,98700000,1015,99800000,16600000.0,40700000.0,99700000,46,0,0,0,0,184,232,0.060103554,0.07012081,0,5792,857.5714,1665.2529,2773067.2,1,0,0,0,0,0,0,0,1,923.53845,67.5,1656.4286,0,0,0,0,0,0,6,405,7,11595,0,235,2,20,14011.0,0.0,14011,14011,98700000.0,0.0,98700000,98700000,DoS Hulk
6,189,1,2,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,15873.01587,94.5,64.34672,140,49,0,0.0,0.0,0,0,49,49.0,0.0,49,49,0,0,0,0,32,64,5291.0054,10582.011,0,0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,2,0.0,0.0,0.0,0,0,0,0,0,0,1,0,2,0,269,65535,0,32,0.0,0.0,0,0,0.0,0.0,0,0,Benign
17,169,2,2,66,98,33,33,33.0,0.0,49,49,49.0,0.0,970414.2012,23668.63905,56.333332,90.64399,161,4,4,4.0,0.0,4,4,4,4.0,0.0,4,4,0,0,0,0,64,64,11834.319,11834.319,33,49,39.4,8.763561,76.8,0,0,0,0,0,0,0,0,1,49.25,33.0,49.0,0,0,0,0,0,0,2,66,2,98,-1,-1,1,32,0.0,0.0,0,0,0.0,0.0,0,0,Benign
6,110600424,13,8,1116,4739,629,0,85.84615,180.4429,1418,0,592.375,663.1106,52.93831423,0.18987269,5530021.0,24700000.0,110000000,1,111000000,9216702.0,31800000.0,110000000,1,216183,30883.285,44759.156,116114,47,0,0,0,0,428,264,0.11754024,0.07233246,0,1418,266.13635,478.7666,229217.45,0,0,0,1,0,0,0,0,0,278.8095,85.84615,592.375,0,0,0,0,0,0,13,1116,8,4739,65535,350,6,32,255469.0,0.0,255469,255469,110000000.0,0.0,110000000,110000000,Benign
17,206,2,2,78,254,39,39,39.0,0.0,127,127,127.0,0.0,1611650.485,19417.47573,68.666664,77.39725,154,3,3,3.0,0.0,3,3,49,49.0,0.0,49,49,0,0,0,0,40,40,9708.738,9708.738,39,127,74.2,48.199585,2323.2,0,0,0,0,0,0,0,0,1,92.75,39.0,127.0,0,0,0,0,0,0,2,78,2,254,-1,-1,1,20,0.0,0.0,0,0,0.0,0.0,0,0,Benign
6,115457095,23,22,1022,9221,342,0,44.434784,99.605965,1509,0,419.13635,652.3679,88.71693853,0.389755173,2624025.0,4365180.5,10000000,3,115000000,5248050.0,4982642.5,10000000,3,111000000,5269084.5,5112110.0,10000000,44,0,0,0,0,472,448,0.1992082,0.19054697,0,1509,222.67392,489.55655,239665.61,0,0,0,1,0,0,0,0,0,227.62222,44.434784,419.13635,0,0,0,0,0,0,23,1022,22,9221,8192,5241,22,20,61584.273,126261.63,442263,22808,9997229.0,15911.33,10000000,9950461,Benign
6,5044989,3,1,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.792865951,1681663.0,2892142.0,5021193,43,5044989,2522494.5,3533693.2,5021193,23796,0,0.0,0.0,0,0,0,0,0,0,104,40,0.59464943,0.19821648,0,0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,3,0,1,0,29200,28960,0,32,0.0,0.0,0,0,0.0,0.0,0,0,Benign
6,523369,7,9,660,6842,322,0,94.28571,125.880516,1460,0,760.2222,642.809,14334.05494,30.5711649,34891.266,46846.332,114287,48,407923,67987.164,54986.33,114972,578,409280,51160.0,57034.676,119100,48,0,0,0,0,152,188,13.374885,17.19628,0,1460,441.29413,578.4561,334611.47,0,0,0,1,0,0,0,0,1,468.875,94.28571,760.2222,0,0,0,0,0,0,7,660,9,6842,8192,31088,6,20,0.0,0.0,0,0,0.0,0.0,0,0,Benign
6,53,1,1,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,37735.84906,53.0,0.0,53,53,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,32,32,18867.924,18867.924,0,0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,114,319,0,32,0.0,0.0,0,0,0.0,0.0,0,0,Benign
17,23347,1,1,55,118,55,55,55.0,0.0,118,118,118.0,0.0,7409.945603,85.66411102,23347.0,0.0,23347,23347,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,20,20,42.832054,42.832054,55,118,76.0,36.373066,1323.0,0,0,0,0,0,0,0,0,1,114.0,55.0,118.0,0,0,0,0,0,0,1,55,1,118,-1,-1,0,20,0.0,0.0,0,0,0.0,0.0,0,0,Benign
6,37816,3,4,26,11607,20,0,8.666667,10.263203,11595,0,2901.75,5795.5005,307621.1128,185.1068331,6302.6665,14982.844,36881,6,847,423.5,512.6524,786,61,37771,12590.333,21040.914,36881,6,0,0,0,0,72,92,79.3315,105.77533,0,11595,1454.125,4097.5376,16800000.0,0,0,0,1,0,0,0,0,1,1661.8572,8.666667,2901.75,0,0,0,0,0,0,3,26,4,11607,8192,229,2,20,0.0,0.0,0,0,0.0,0.0,0,0,DDoS
6,881,2,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,2270.14756,881.0,0.0,881,881,881,881.0,0.0,881,881,0,0.0,0.0,0,0,0,0,0,0,64,0,2270.1475,0.0,0,0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,2,0,0,0,1006,-1,0,32,0.0,0.0,0,0,0.0,0.0,0,0,Benign
6,98342840,15,14,889,1590,440,0,59.266666,154.57799,795,0,113.57143,288.69354,25.20773246,0.294886745,3512244.2,4695926.5,10000000,172,92000000,6570454.5,4824602.0,10000000,211,98300000,7561914.0,4157003.2,10000000,768,0,0,0,0,312,400,0.15252763,0.14235912,0,795,82.63333,223.3299,49876.24,0,0,0,1,0,0,0,0,0,85.48276,59.266666,113.57143,0,0,0,0,0,0,15,889,14,1590,8192,980,11,20,227598.78,568490.06,1743572,37666,9993108.0,47305.438,10000000,9866963,Benign
6,30047,3,5,26,11607,20,0,8.666667,10.263203,10135,0,2321.4,4413.202,387160.1158,266.2495424,4292.4287,10958.605,29141,5,663,331.5,330.21887,565,98,30003,7500.75,14429.475,29141,5,0,0,0,0,72,112,99.84358,166.40596,0,10135,1292.5555,3350.635,11200000.0,0,0,0,1,0,0,0,0,1,1454.125,8.666667,2321.4,0,0,0,0,0,0,3,26,5,11607,8192,229,2,20,0.0,0.0,0,0,0.0,0.0,0,0,DDoS
17,235,2,2,64,204,32,32,32.0,0.0,102,102,102.0,0.0,1140425.532,17021.2766,78.333336,128.74911,227,4,4,4.0,0.0,4,4,4,4.0,0.0,4,4,0,0,0,0,64,64,8510.639,8510.639,32,102,60.0,38.34058,1470.0,0,0,0,0,0,0,0,0,1,75.0,32.0,102.0,0,0,0,0,0,0,2,64,2,204,-1,-1,1,32,0.0,0.0,0,0,0.0,0.0,0,0,Benign
6,47,1,1,6,6,6,6,6.0,0.0,6,6,6.0,0.0,255319.1489,42553.19149,47.0,0.0,47,47,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,20,20,21276.596,21276.596,6,6,6.0,0.0,0.0,0,0,0,0,1,1,0,0,1,9.0,6.0,6.0,0,0,0,0,0,0,1,6,1,6,343,16365,0,20,0.0,0.0,0,0,0.0,0.0,0,0,Benign
6,5179028,9,5,620,2731,342,0,68.888885,120.034836,1460,0,546.2,717.9291,647.0326092,2.703209946,398386.78,1329830.5,4821924,3,5179028,647378.5,1687842.2,4821924,3,212286,53071.5,58935.266,104846,4,0,0,0,0,200,112,1.7377778,0.9654321,0,1460,223.4,460.02527,211623.25,0,0,0,1,0,0,0,0,0,239.35715,68.888885,546.2,0,0,0,0,0,0,9,620,5,2731,29200,8740,8,20,0.0,0.0,0,0,0.0,0.0,0,0,Benign
17,89305,2,2,84,278,42,42,42.0,0.0,139,139,139.0,0.0,4053.524439,44.79032529,29768.334,51554.203,89298,3,4,4.0,0.0,4,4,3,3.0,0.0,3,3,0,0,0,0,64,64,22.395163,22.395163,42,139,80.8,53.12909,2822.7,0,0,0,0,0,0,0,0,1,101.0,42.0,139.0,0,0,0,0,0,0,2,84,2,278,-1,-1,1,32,0.0,0.0,0,0,0.0,0.0,0,0,Benign
6,98896731,5,7,405,11595,393,0,81.0,174.4391,5792,0,1656.4286,2120.7322,121.3386922,0.121338692,8990612.0,29800000.0,98900000,2,98900000,24700000.0,49400000.0,98900000,49,98900000,16500000.0,40400000.0,98900000,46,0,0,0,0,144,232,0.05055779,0.0707809,0,5792,923.53845,1714.1051,2938156.2,1,0,0,0,0,0,0,0,1,1000.5,81.0,1656.4286,0,0,0,0,0,0,5,405,7,11595,0,235,2,20,10990.0,0.0,10990,10990,98900000.0,0.0,98900000,98900000,DoS Hulk
6,9068949,9,15,125,188,36,0,13.888889,12.534397,34,0,12.533334,14.54975,34.51337084,2.646392653,394302.12,1016908.1,3036813,3,5988530,748566.25,1369772.5,3010741,217,9068841,647774.4,1254279.2,3036813,3,0,0,0,0,296,488,0.99239725,1.6539954,0,36,12.52,13.5311985,183.09334,0,0,0,1,0,0,0,0,1,13.041667,13.888889,12.533334,0,0,0,0,0,0,9,125,15,188,29200,227,6,32,0.0,0.0,0,0,0.0,0.0,0,0,FTP-Patator
6,63088221,7,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.110955736,10500000.0,11900000.0,32000000,996386,63100000,10500000.0,11900000.0,32000000,996386,0,0.0,0.0,0,0,0,0,0,0,280,0,0.11095574,0.0,0,0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,7,0,0,0,29200,-1,0,40,7008324.0,0.0,7008324,7008324,18700000.0,12200000.0,32000000,8015785,DoS Slowhttptest
17,176,2,2,70,166,35,35,35.0,0.0,83,83,83.0,0.0,1340909.091,22727.27273,58.666668,97.29508,171,1,4,4.0,0.0,4,4,1,1.0,0.0,1,1,0,0,0,0,64,64,11363.637,11363.637,35,83,54.2,26.290682,691.2,0,0,0,0,0,0,0,0,1,67.75,35.0,83.0,0,0,0,0,0,0,2,70,2,166,-1,-1,1,32,0.0,0.0,0,0,0.0,0.0,0,0,Benign
6,224,2,0,12,0,6,6,6.0,0.0,0,0,0.0,0.0,53571.42857,8928.571429,224.0,0.0,224,224,224,224.0,0.0,224,224,0,0.0,0.0,0,0,0,0,0,0,40,0,8928.571,0.0,6,6,6.0,0.0,0.0,0,0,0,0,1,0,0,0,0,9.0,6.0,0.0,0,0,0,0,0,0,2,12,0,0,30660,-1,1,20,0.0,0.0,0,0,0.0,0.0,0,0,Benign
17,205,2,2,72,162,36,36,36.0,0.0,81,81,81.0,0.0,1141463.415,19512.19512,68.333336,35.218365,109,48,48,48.0,0.0,48,48,48,48.0,0.0,48,48,0,0,0,0,40,40,9756.098,9756.098,36,81,54.0,24.647514,607.5,0,0,0,0,0,0,0,0,1,67.5,36.0,81.0,0,0,0,0,0,0,2,72,2,162,-1,-1,1,20,0.0,0.0,0,0,0.0,0.0,0,0,Benign
6,117976312,12,13,587,4268,201,0,48.916668,69.138145,1418,0,328.30768,541.8069,41.15232895,0.211906946,4915679.5,16600000.0,58900000,1,118000000,10700000.0,23800000.0,58900000,349,118000000,9828279.0,22900000.0,59000000,1,0,0,0,0,392,424,0.101715334,0.11019161,0,1418,186.73077,404.89954,163943.64,0,0,0,1,0,0,0,0,1,194.2,48.916668,328.30768,0,0,0,0,0,0,12,587,13,4268,29200,349,6,32,169887.0,131236.19,262685,77089,58800000.0,181404.7,58900000,58700000,Benign
6,147527,3,5,363,11595,363,0,121.0,209.57814,4344,0,2319.0,2196.7314,81056.34901,54.22736177,21075.285,50931.94,136212,4,11005,5502.5,7776.053,11001,4,147471,36867.75,66427.69,136212,64,0,0,0,0,104,168,20.33526,33.8921,0,4344,1328.6666,1950.4773,3804361.8,0,0,0,1,0,0,0,0,1,1494.75,121.0,2319.0,0,0,0,0,0,0,3,363,5,11595,29200,235,1,32,0.0,0.0,0,0,0.0,0.0,0,0,DoS Hulk
6,99932717,6,6,361,11595,361,0,60.166668,147.37764,4344,0,1932.5,1754.8314,119.6404977,0.120080794,9084792.0,30100000.0,99800000,3,99800000,20000000.0,44600000.0,99800000,3,94357,18871.4,36187.754,83051,48,0,0,0,0,200,200,0.060040396,0.060040396,0,4344,919.6923,1498.3042,2244915.5,0,0,0,0,1,0,0,0,1,996.3333,60.166668,1932.5,0,0,0,0,0,0,6,361,6,11595,251,235,1,32,11.0,0.0,11,11,99800000.0,0.0,99800000,99800000,DoS Hulk
17,147,2,2,80,112,40,40,40.0,0.0,56,56,56.0,0.0,1306122.449,27210.88435,49.0,77.94228,139,4,4,4.0,0.0,4,4,4,4.0,0.0,4,4,0,0,0,0,64,64,13605.442,13605.442,40,56,46.4,8.763561,76.8,0,0,0,0,0,0,0,0,1,58.0,40.0,56.0,0,0,0,0,0,0,2,80,2,112,-1,-1,1,32,0.0,0.0,0,0,0.0,0.0,0,0,Benign
17,185,2,2,64,180,32,32,32.0,0.0,90,90,90.0,0.0,1318918.919,21621.62162,61.666668,66.56075,134,3,3,3.0,0.0,3,3,48,48.0,0.0,48,48,0,0,0,0,64,64,10810.811,10810.811,32,90,55.2,31.767908,1009.2,0,0,0,0,0,0,0,0,1,69.0,32.0,90.0,0,0,0,0,0,0,2,64,2,180,-1,-1,1,32,0.0,0.0,0,0,0.0,0.0,0,0,Benign
6,58,1,2,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,51724.13793,29.0,26.870058,48,10,0,0.0,0.0,0,0,48,48.0,0.0,48,48,0,0,0,0,32,64,17241.379,34482.758,0,0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,2,0.0,0.0,0.0,0,0,0,0,0,0,1,0,2,0,243,290,0,32,0.0,0.0,0,0,0.0,0.0,0,0,Benign
17,24005,2,2,68,258,34,34,34.0,0.0,129,129,129.0,0.0,13580.50406,166.6319517,8001.6665,13853.231,23998,3,3,3.0,0.0,3,3,4,4.0,0.0,4,4,0,0,0,0,40,40,83.31598,83.31598,34,129,72.0,52.03364,2707.5,0,0,0,0,0,0,0,0,1,90.0,34.0,129.0,0,0,0,0,0,0,2,68,2,258,-1,-1,1,20,0.0,0.0,0,0,0.0,0.0,0,0,Benign
17,302,2,2,64,96,32,32,32.0,0.0,48,48,48.0,0.0,529801.3245,13245.03311,100.666664,91.22682,206,47,47,47.0,0.0,47,47,49,49.0,0.0,49,49,0,0,0,0,64,72,6622.5166,6622.5166,32,48,38.4,8.763561,76.8,0,0,0,0,0,0,0,0,1,48.0,32.0,48.0,0,0,0,0,0,0,2,64,2,96,-1,-1,1,32,0.0,0.0,0,0,0.0,0.0,0,0,Benign
17,50529,2,2,62,118,31,31,31.0,0.0,59,59,59.0,0.0,3562.310752,79.16246116,16843.0,29159.941,50514,3,12,12.0,0.0,12,12,3,3.0,0.0,3,3,0,0,0,0,64,64,39.58123,39.58123,31,59,42.2,15.336231,235.2,0,0,0,0,0,0,0,0,1,52.75,31.0,59.0,0,0,0,0,0,0,2,62,2,118,-1,-1,1,32,0.0,0.0,0,0,0.0,0.0,0,0,Benign
6,46897,1,1,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,42.64665117,46897.0,0.0,46897,46897,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,32,32,21.323326,21.323326,0,0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,262,136,0,32,0.0,0.0,0,0,0.0,0.0,0,0,Benign
6,98683832,7,6,306,11595,306,0,43.714287,115.65713,5792,0,1932.5,2537.82,120.5972626,0.131733839,8223652.5,28500000.0,98700000,1,98700000,16400000.0,40300000.0,98700000,1,1094,218.8,349.18863,835,2,0,0,0,0,232,200,0.0709336,0.060800232,0,5792,850.0714,1851.9622,3429763.8,0,0,0,0,1,0,0,0,0,915.46155,43.714287,1932.5,0,0,0,0,0,0,7,306,6,11595,251,235,1,32,4.0,0.0,4,4,98700000.0,0.0,98700000,98700000,DoS Hulk
