payload,length,attack_type,label
uname -a2>&1rm -rf /tmp/test2>&1APPHOME=/tmp/malicious,54,cmdi,anom
id|rm -rf /tmp/test|$USER,25,cmdi,anom
ps aux`rm -rf /tmp/test`$PATH,29,cmdi,anom
ps aux|rm -rf /tmp/test|$PATH,29,cmdi,anom
cat /etc/passwd2>&1rm -rf /tmp/test2>&1$PATH,44,cmdi,anom
df -h<rm -rf /tmp/test<$PWD,27,cmdi,anom
whoami>rm -rf /tmp/test>export PATH=/malicious/path>ls,54,cmdi,anom
ls||rm -rf /tmp/test||$HOME,27,cmdi,anom
ps aux|rm -rf /tmp/test|APPHOME=/tmp/malicious,46,cmdi,anom
ps aux;rm -rf /tmp/test;$PATH,29,cmdi,anom
cat /etc/passwd;rm -rf /tmp/test;$PWD;whoami,44,cmdi,anom
uname -a&>rm -rf /tmp/test&>$SHELL&>id,38,cmdi,anom
cat /etc/passwd|rm -rf /tmp/test|APPHOME=/tmp/malicious|ps aux,62,cmdi,anom
cat /etc/passwd>rm -rf /tmp/test>$PATH>uname -a,47,cmdi,anom
df -h2>&1rm -rf /tmp/test,25,cmdi,anom
whoami;rm -rf /tmp/test;$USER;ls,32,cmdi,anom
ps aux`rm -rf /tmp/test`$PATH,29,cmdi,anom
uname -a;rm -rf /tmp/test,25,cmdi,anom
cat /etc/passwd||rm -rf /tmp/test||$USER||whoami,48,cmdi,anom
uname -a<rm -rf /tmp/test<$USER<whoami,38,cmdi,anom
cat /etc/passwd$(rm -rf /tmp/test$($USER$(uname -a,50,cmdi,anom
df -h2>&1rm -rf /tmp/test2>&1$PATH2>&1uname -a,46,cmdi,anom
uname -a|rm -rf /tmp/test|df -h,31,cmdi,anom
uname -a&&rm -rf /tmp/test&&$PWD,32,cmdi,anom
uname -a||rm -rf /tmp/test||APPHOME=/tmp/malicious||whoami,58,cmdi,anom
ls<rm -rf /tmp/test<$PWD<ls,27,cmdi,anom
whoami;rm -rf /tmp/test;$PWD;whoami,35,cmdi,anom
cat /etc/passwd&>rm -rf /tmp/test&>$USER,40,cmdi,anom
whoami<rm -rf /tmp/test<$SHELL,30,cmdi,anom
uname -a$(rm -rf /tmp/test,26,cmdi,anom
id&>rm -rf /tmp/test&>$PWD,26,cmdi,anom
df -h;rm -rf /tmp/test;$USER;uname -a,37,cmdi,anom
ls&>rm -rf /tmp/test&>$USER&>id,31,cmdi,anom
ls||rm -rf /tmp/test||APPHOME=/tmp/malicious,44,cmdi,anom
ls|rm -rf /tmp/test|export PATH=/malicious/path,47,cmdi,anom
uname -a&&rm -rf /tmp/test&&$PWD&&whoami,40,cmdi,anom
id>rm -rf /tmp/test,19,cmdi,anom
ls`rm -rf /tmp/test`APPHOME=/tmp/malicious`whoami,49,cmdi,anom
id<rm -rf /tmp/test,19,cmdi,anom
cat /etc/passwd2>&1rm -rf /tmp/test2>&1export PATH=/malicious/path,66,cmdi,anom
ls&>rm -rf /tmp/test&>$USER,27,cmdi,anom
ps aux2>&1rm -rf /tmp/test2>&1$SHELL,36,cmdi,anom
whoami`rm -rf /tmp/test`export PATH=/malicious/path`ps aux,58,cmdi,anom
df -h&>rm -rf /tmp/test&>$SHELL,31,cmdi,anom
df -h$(rm -rf /tmp/test$($PATH,30,cmdi,anom
id;rm -rf /tmp/test;$SHELL;cat /etc/passwd,42,cmdi,anom
cat /etc/passwd`rm -rf /tmp/test`$PWD`id,40,cmdi,anom
ps aux;rm -rf /tmp/test;$PWD,28,cmdi,anom
ls&&rm -rf /tmp/test&&df -h,27,cmdi,anom
ps aux2>&1rm -rf /tmp/test2>&1$HOME2>&1whoami,45,cmdi,anom
whoami|rm -rf /tmp/test|cat /etc/passwd,39,cmdi,anom
ps aux2>&1rm -rf /tmp/test2>&1APPHOME=/tmp/malicious2>&1ls,58,cmdi,anom
uname -a&&rm -rf /tmp/test&&$PWD,32,cmdi,anom
cat /etc/passwd$(rm -rf /tmp/test$(df -h,40,cmdi,anom
cat /etc/passwd||rm -rf /tmp/test||$USER||uname -a,50,cmdi,anom
id&&rm -rf /tmp/test&&$SHELL&&id,32,cmdi,anom
ps aux>rm -rf /tmp/test>$PWD,28,cmdi,anom
cat /etc/passwd|rm -rf /tmp/test|export PATH=/malicious/path|id,63,cmdi,anom
id`rm -rf /tmp/test`$SHELL`cat /etc/passwd,42,cmdi,anom
id;rm -rf /tmp/test;$USER,25,cmdi,anom
df -h|rm -rf /tmp/test|$HOME,28,cmdi,anom
df -h||rm -rf /tmp/test,23,cmdi,anom
id$(rm -rf /tmp/test$($SHELL,28,cmdi,anom
uname -a$(rm -rf /tmp/test$($SHELL$(df -h,41,cmdi,anom
ps aux$(rm -rf /tmp/test$($HOME,31,cmdi,anom
cat /etc/passwd&&rm -rf /tmp/test&&$PWD,39,cmdi,anom
ls<rm -rf /tmp/test<APPHOME=/tmp/malicious,42,cmdi,anom
whoami&>rm -rf /tmp/test&>export PATH=/malicious/path,53,cmdi,anom
id;rm -rf /tmp/test;APPHOME=/tmp/malicious,42,cmdi,anom
ls;rm -rf /tmp/test;$HOME;ls,28,cmdi,anom
uname -a&&rm -rf /tmp/test&&export PATH=/malicious/path,55,cmdi,anom
id&&rm -rf /tmp/test&&$USER,27,cmdi,anom
ps aux$(rm -rf /tmp/test$($HOME,31,cmdi,anom
df -h$(rm -rf /tmp/test$($USER$(cat /etc/passwd,47,cmdi,anom
ls`rm -rf /tmp/test`APPHOME=/tmp/malicious,42,cmdi,anom
id|rm -rf /tmp/test|uname -a,28,cmdi,anom
whoami2>&1rm -rf /tmp/test2>&1export PATH=/malicious/path2>&1id,63,cmdi,anom
id>rm -rf /tmp/test>$PWD>uname -a,33,cmdi,anom
cat /etc/passwd`rm -rf /tmp/test,32,cmdi,anom
ps aux<rm -rf /tmp/test<APPHOME=/tmp/malicious<ps aux,53,cmdi,anom
cat /etc/passwd<rm -rf /tmp/test,32,cmdi,anom
ls||rm -rf /tmp/test||APPHOME=/tmp/malicious||df -h,51,cmdi,anom
df -h>rm -rf /tmp/test,22,cmdi,anom
ps aux|rm -rf /tmp/test|$PWD,28,cmdi,anom
id;rm -rf /tmp/test;$USER;id,28,cmdi,anom
id<rm -rf /tmp/test<APPHOME=/tmp/malicious<whoami,49,cmdi,anom
ls;rm -rf /tmp/test;ls,22,cmdi,anom
cat /etc/passwd&&rm -rf /tmp/test&&export PATH=/malicious/path,62,cmdi,anom
ps aux$(rm -rf /tmp/test$(APPHOME=/tmp/malicious,48,cmdi,anom
whoami|rm -rf /tmp/test|$USER|ps aux,36,cmdi,anom
cat /etc/passwd>rm -rf /tmp/test>export PATH=/malicious/path,60,cmdi,anom
ls<rm -rf /tmp/test<$PWD<ps aux,31,cmdi,anom
uname -a>rm -rf /tmp/test>APPHOME=/tmp/malicious>df -h,54,cmdi,anom
ps aux$(rm -rf /tmp/test$($SHELL$(ps aux,40,cmdi,anom
uname -a$(rm -rf /tmp/test$(uname -a,36,cmdi,anom
cat /etc/passwd&&rm -rf /tmp/test&&ps aux,41,cmdi,anom
cat /etc/passwd`rm -rf /tmp/test`$USER`uname -a,47,cmdi,anom
whoami$(rm -rf /tmp/test$($SHELL,32,cmdi,anom
id<rm -rf /tmp/test<df -h,25,cmdi,anom
ls&>rm -rf /tmp/test&>export PATH=/malicious/path,49,cmdi,anom
id>rm -rf /tmp/test>$HOME>cat /etc/passwd,41,cmdi,anom
df -h$(rm -rf /tmp/test$($PATH$(uname -a,40,cmdi,anom
uname -a2>&1rm -rf /tmp/test2>&1$USER,37,cmdi,anom
df -h&&rm -rf /tmp/test&&export PATH=/malicious/path,52,cmdi,anom
uname -a>rm -rf /tmp/test>ps aux,32,cmdi,anom
ls2>&1rm -rf /tmp/test2>&1$USER,31,cmdi,anom
ps aux|rm -rf /tmp/test|APPHOME=/tmp/malicious,46,cmdi,anom
uname -a&>rm -rf /tmp/test&>$SHELL,34,cmdi,anom
ls||rm -rf /tmp/test||$USER||cat /etc/passwd,44,cmdi,anom
df -h&&rm -rf /tmp/test&&export PATH=/malicious/path,52,cmdi,anom
cat /etc/passwd;rm -rf /tmp/test;cat /etc/passwd,48,cmdi,anom
cat /etc/passwd$(rm -rf /tmp/test$($PWD,39,cmdi,anom
uname -a2>&1rm -rf /tmp/test2>&1whoami,38,cmdi,anom
ps aux>rm -rf /tmp/test>$USER,29,cmdi,anom
cat /etc/passwd$(rm -rf /tmp/test$(id,37,cmdi,anom
ps aux||rm -rf /tmp/test||export PATH=/malicious/path,53,cmdi,anom
uname -a|rm -rf /tmp/test|APPHOME=/tmp/malicious|ps aux,55,cmdi,anom
df -h<rm -rf /tmp/test<$PWD,27,cmdi,anom
cat /etc/passwd&>rm -rf /tmp/test&>export PATH=/malicious/path&>ls,66,cmdi,anom
uname -a`rm -rf /tmp/test,25,cmdi,anom
uname -a|rm -rf /tmp/test|$SHELL|id,35,cmdi,anom
id;rm -rf /tmp/test,19,cmdi,anom
ps aux;rm -rf /tmp/test;export PATH=/malicious/path,51,cmdi,anom
id|rm -rf /tmp/test|APPHOME=/tmp/malicious,42,cmdi,anom
whoami$(rm -rf /tmp/test$($SHELL,32,cmdi,anom
ls`rm -rf /tmp/test`$SHELL`df -h,32,cmdi,anom
ls2>&1rm -rf /tmp/test2>&1$PATH,31,cmdi,anom
id;rm -rf /tmp/test,19,cmdi,anom
uname -a<rm -rf /tmp/test<$HOME,31,cmdi,anom
id2>&1rm -rf /tmp/test2>&1export PATH=/malicious/path2>&1cat /etc/passwd,72,cmdi,anom
uname -a|rm -rf /tmp/test|$SHELL|whoami,39,cmdi,anom
ps aux$(rm -rf /tmp/test$($PWD,30,cmdi,anom
df -h<rm -rf /tmp/test<APPHOME=/tmp/malicious<ps aux,52,cmdi,anom
whoami||rm -rf /tmp/test||$USER||ps aux,39,cmdi,anom
df -h&&rm -rf /tmp/test&&cat /etc/passwd,40,cmdi,anom
id`rm -rf /tmp/test`$PATH,25,cmdi,anom
uname -a;rm -rf /tmp/test;export PATH=/malicious/path,53,cmdi,anom
df -h&&rm -rf /tmp/test&&$USER,30,cmdi,anom
uname -a||rm -rf /tmp/test,26,cmdi,anom
ps aux&>rm -rf /tmp/test&>APPHOME=/tmp/malicious&>ps aux,56,cmdi,anom
df -h<rm -rf /tmp/test<APPHOME=/tmp/malicious,45,cmdi,anom
df -h>rm -rf /tmp/test>$HOME>ps aux,35,cmdi,anom
cat /etc/passwd&>rm -rf /tmp/test,33,cmdi,anom
cat /etc/passwd&>rm -rf /tmp/test&>$PWD&>whoami,47,cmdi,anom
cat /etc/passwd;rm -rf /tmp/test,32,cmdi,anom
cat /etc/passwd&>rm -rf /tmp/test&>$HOME,40,cmdi,anom
ls`rm -rf /tmp/test`$HOME`df -h,31,cmdi,anom
ps aux||rm -rf /tmp/test||$PWD,30,cmdi,anom
ls&&rm -rf /tmp/test&&$SHELL,28,cmdi,anom
ls`rm -rf /tmp/test`$SHELL,26,cmdi,anom
uname -a>rm -rf /tmp/test>$PATH,31,cmdi,anom
df -h|rm -rf /tmp/test|APPHOME=/tmp/malicious|whoami,52,cmdi,anom
whoami|rm -rf /tmp/test|$PWD|cat /etc/passwd,44,cmdi,anom
whoami2>&1rm -rf /tmp/test,26,cmdi,anom
whoami2>&1rm -rf /tmp/test2>&1cat /etc/passwd,45,cmdi,anom
ls&>rm -rf /tmp/test,20,cmdi,anom
uname -a$(rm -rf /tmp/test$($HOME$(id,37,cmdi,anom
df -h;rm -rf /tmp/test;APPHOME=/tmp/malicious;ls,48,cmdi,anom
df -h`rm -rf /tmp/test`$USER,28,cmdi,anom
cat /etc/passwd|rm -rf /tmp/test|ps aux,39,cmdi,anom
whoami`rm -rf /tmp/test`$USER,29,cmdi,anom
uname -a;rm -rf /tmp/test;$HOME,31,cmdi,anom
whoami<rm -rf /tmp/test<$PWD,28,cmdi,anom
uname -a$(rm -rf /tmp/test$(export PATH=/malicious/path,55,cmdi,anom
id|rm -rf /tmp/test|$HOME,25,cmdi,anom
ps aux<rm -rf /tmp/test<$USER,29,cmdi,anom
ls2>&1rm -rf /tmp/test,22,cmdi,anom
uname -a&&rm -rf /tmp/test&&$HOME&&id,37,cmdi,anom
uname -a`rm -rf /tmp/test`$PATH,31,cmdi,anom
ls|rm -rf /tmp/test|$HOME|cat /etc/passwd,41,cmdi,anom
ps aux<rm -rf /tmp/test<$SHELL<id,33,cmdi,anom
whoami;rm -rf /tmp/test;$HOME,29,cmdi,anom
ls|rm -rf /tmp/test|$PWD,24,cmdi,anom
uname -a&>rm -rf /tmp/test&>APPHOME=/tmp/malicious,50,cmdi,anom
ls||rm -rf /tmp/test,20,cmdi,anom
ps aux$(rm -rf /tmp/test$($PWD,30,cmdi,anom
ps aux2>&1rm -rf /tmp/test2>&1APPHOME=/tmp/malicious,52,cmdi,anom
id;rm -rf /tmp/test;$HOME,25,cmdi,anom
ps aux|rm -rf /tmp/test|$PWD,28,cmdi,anom
uname -a2>&1rm -rf /tmp/test2>&1APPHOME=/tmp/malicious2>&1whoami,64,cmdi,anom
ps aux&>rm -rf /tmp/test&>export PATH=/malicious/path&>whoami,61,cmdi,anom
df -h&&rm -rf /tmp/test&&$PATH,30,cmdi,anom
whoami`rm -rf /tmp/test`export PATH=/malicious/path,51,cmdi,anom
uname -a&>rm -rf /tmp/test&>export PATH=/malicious/path,55,cmdi,anom
id&>rm -rf /tmp/test&>$PWD&>uname -a,36,cmdi,anom
uname -a||rm -rf /tmp/test||APPHOME=/tmp/malicious,50,cmdi,anom
cat /etc/passwd&&rm -rf /tmp/test&&$PATH&&df -h,47,cmdi,anom
ls$(rm -rf /tmp/test$($HOME$(cat /etc/passwd,44,cmdi,anom
uname -a>rm -rf /tmp/test,25,cmdi,anom
id>rm -rf /tmp/test>$PWD>id,27,cmdi,anom
ls&>rm -rf /tmp/test,20,cmdi,anom
id&&rm -rf /tmp/test&&export PATH=/malicious/path,49,cmdi,anom
cat /etc/passwd<rm -rf /tmp/test<$PATH<df -h,44,cmdi,anom
whoami&&rm -rf /tmp/test&&APPHOME=/tmp/malicious,48,cmdi,anom
df -h$(rm -rf /tmp/test$(export PATH=/malicious/path$(uname -a,62,cmdi,anom
id||rm -rf /tmp/test||APPHOME=/tmp/malicious,44,cmdi,anom
ls`rm -rf /tmp/test`APPHOME=/tmp/malicious,42,cmdi,anom
df -h$(rm -rf /tmp/test$(ps aux,31,cmdi,anom
whoami<rm -rf /tmp/test<$HOME,29,cmdi,anom
cat /etc/passwd&&rm -rf /tmp/test&&APPHOME=/tmp/malicious,57,cmdi,anom
cat /etc/passwd>rm -rf /tmp/test>$HOME,38,cmdi,anom
whoami`rm -rf /tmp/test,23,cmdi,anom
df -h||rm -rf /tmp/test||$USER,30,cmdi,anom
ps aux>rm -rf /tmp/test>export PATH=/malicious/path,51,cmdi,anom
id<rm -rf /tmp/test<$SHELL,26,cmdi,anom
ps aux$(rm -rf /tmp/test$($USER,31,cmdi,anom
cat /etc/passwd2>&1rm -rf /tmp/test,35,cmdi,anom
uname -a2>&1rm -rf /tmp/test2>&1$PATH,37,cmdi,anom
id&>rm -rf /tmp/test&>export PATH=/malicious/path&>id,53,cmdi,anom
whoami$(rm -rf /tmp/test$($PATH,31,cmdi,anom
whoami&&rm -rf /tmp/test&&$PWD&&ps aux,38,cmdi,anom
ps aux`rm -rf /tmp/test,23,cmdi,anom
ls`rm -rf /tmp/test`$PATH,25,cmdi,anom
whoami2>&1rm -rf /tmp/test2>&1$PWD2>&1ls,40,cmdi,anom
whoami2>&1rm -rf /tmp/test2>&1$SHELL2>&1cat /etc/passwd,55,cmdi,anom
uname -a`rm -rf /tmp/test`$HOME`uname -a,40,cmdi,anom
id$(rm -rf /tmp/test$($PATH$(ls,31,cmdi,anom
ls<rm -rf /tmp/test<$PATH<ps aux,32,cmdi,anom
whoami||rm -rf /tmp/test||APPHOME=/tmp/malicious,48,cmdi,anom
cat /etc/passwd<rm -rf /tmp/test<APPHOME=/tmp/malicious,55,cmdi,anom
uname -a`rm -rf /tmp/test`$PWD`uname -a,39,cmdi,anom
df -h|rm -rf /tmp/test|$PATH|ps aux,35,cmdi,anom
ps aux||rm -rf /tmp/test||export PATH=/malicious/path,53,cmdi,anom
whoami<rm -rf /tmp/test,23,cmdi,anom
whoami&>rm -rf /tmp/test&>APPHOME=/tmp/malicious&>ls,52,cmdi,anom
cat /etc/passwd&&rm -rf /tmp/test&&export PATH=/malicious/path&&cat /etc/passwd,79,cmdi,anom
ps aux<rm -rf /tmp/test<$PATH,29,cmdi,anom
ps aux<rm -rf /tmp/test<$PWD,28,cmdi,anom
ls2>&1rm -rf /tmp/test2>&1$SHELL2>&1ls,38,cmdi,anom
ls`rm -rf /tmp/test`export PATH=/malicious/path,47,cmdi,anom
uname -a`rm -rf /tmp/test`APPHOME=/tmp/malicious,48,cmdi,anom
ls`rm -rf /tmp/test`$PATH`df -h,31,cmdi,anom
id&&rm -rf /tmp/test&&$PWD&&id,30,cmdi,anom
cat /etc/passwd||rm -rf /tmp/test||APPHOME=/tmp/malicious,57,cmdi,anom
cat /etc/passwd2>&1rm -rf /tmp/test2>&1$PATH,44,cmdi,anom
whoami>rm -rf /tmp/test>$HOME>df -h,35,cmdi,anom
whoami&>rm -rf /tmp/test&>ls,28,cmdi,anom
ps aux>rm -rf /tmp/test,23,cmdi,anom
whoami$(rm -rf /tmp/test$(APPHOME=/tmp/malicious$(df -h,55,cmdi,anom
ls$(rm -rf /tmp/test$(export PATH=/malicious/path$(df -h,56,cmdi,anom
id$(rm -rf /tmp/test$($HOME,27,cmdi,anom
ps aux|rm -rf /tmp/test|APPHOME=/tmp/malicious,46,cmdi,anom
cat /etc/passwd>rm -rf /tmp/test>$PATH>id,41,cmdi,anom
ps aux||rm -rf /tmp/test||$PWD||df -h,37,cmdi,anom
df -h`rm -rf /tmp/test`$USER,28,cmdi,anom
ps aux<rm -rf /tmp/test<APPHOME=/tmp/malicious,46,cmdi,anom
whoami$(rm -rf /tmp/test$($HOME,31,cmdi,anom
ls|rm -rf /tmp/test|$PATH|uname -a,34,cmdi,anom
id$(rm -rf /tmp/test,20,cmdi,anom
ls>rm -rf /tmp/test>$HOME>uname -a,34,cmdi,anom
ls&>rm -rf /tmp/test&>$USER&>id,31,cmdi,anom
ls`rm -rf /tmp/test`$SHELL,26,cmdi,anom
ps aux&&rm -rf /tmp/test&&$PWD,30,cmdi,anom
ps aux|rm -rf /tmp/test|export PATH=/malicious/path|whoami,58,cmdi,anom
id||rm -rf /tmp/test||$HOME||ls,31,cmdi,anom
df -h<rm -rf /tmp/test<$SHELL<cat /etc/passwd,45,cmdi,anom
whoami`rm -rf /tmp/test`export PATH=/malicious/path,51,cmdi,anom
ps aux;rm -rf /tmp/test;$PWD,28,cmdi,anom
uname -a`rm -rf /tmp/test`APPHOME=/tmp/malicious`whoami,55,cmdi,anom
ps aux||rm -rf /tmp/test||APPHOME=/tmp/malicious,48,cmdi,anom
uname -a`rm -rf /tmp/test`$SHELL,32,cmdi,anom
ps aux>rm -rf /tmp/test>$USER,29,cmdi,anom
cat /etc/passwd|rm -rf /tmp/test|export PATH=/malicious/path,60,cmdi,anom
whoami`rm -rf /tmp/test`cat /etc/passwd,39,cmdi,anom
uname -a>rm -rf /tmp/test>$PWD,30,cmdi,anom
ls&>rm -rf /tmp/test&>$USER,27,cmdi,anom
ls&&rm -rf /tmp/test&&$HOME,27,cmdi,anom
uname -a`rm -rf /tmp/test`$USER`ls,34,cmdi,anom
cat /etc/passwd<rm -rf /tmp/test<export PATH=/malicious/path<id,63,cmdi,anom
uname -a||rm -rf /tmp/test||$PATH,33,cmdi,anom
id;rm -rf /tmp/test;$HOME,25,cmdi,anom
uname -a&>rm -rf /tmp/test&>$HOME,33,cmdi,anom
id||rm -rf /tmp/test||export PATH=/malicious/path||df -h,56,cmdi,anom
ps aux`rm -rf /tmp/test`export PATH=/malicious/path,51,cmdi,anom
uname -a;rm -rf /tmp/test;id,28,cmdi,anom
whoami&>rm -rf /tmp/test&>APPHOME=/tmp/malicious&>df -h,55,cmdi,anom
uname -a>rm -rf /tmp/test,25,cmdi,anom
df -h2>&1rm -rf /tmp/test2>&1$PWD,33,cmdi,anom
uname -a&>rm -rf /tmp/test&>export PATH=/malicious/path&>whoami,63,cmdi,anom
whoami&>rm -rf /tmp/test&>$SHELL,32,cmdi,anom
df -h$(rm -rf /tmp/test$($HOME$(ls,34,cmdi,anom
whoami;rm -rf /tmp/test;$PWD;whoami,35,cmdi,anom
cat /etc/passwd||rm -rf /tmp/test||$PATH,40,cmdi,anom
whoami|rm -rf /tmp/test|$PATH,29,cmdi,anom
df -h$(rm -rf /tmp/test$($PWD,29,cmdi,anom
df -h<rm -rf /tmp/test<$USER<cat /etc/passwd,44,cmdi,anom
whoami`rm -rf /tmp/test,23,cmdi,anom
whoami|rm -rf /tmp/test|$SHELL,30,cmdi,anom
cat /etc/passwd$(rm -rf /tmp/test$($USER,40,cmdi,anom
whoami||rm -rf /tmp/test||$PWD||cat /etc/passwd,47,cmdi,anom
cat /etc/passwd||rm -rf /tmp/test||export PATH=/malicious/path||df -h,69,cmdi,anom
ps aux`rm -rf /tmp/test`APPHOME=/tmp/malicious,46,cmdi,anom
cat /etc/passwd&&rm -rf /tmp/test,33,cmdi,anom
uname -a||rm -rf /tmp/test||ps aux,34,cmdi,anom
whoami||rm -rf /tmp/test||$PATH||id,35,cmdi,anom
uname -a$(rm -rf /tmp/test$($SHELL$(whoami,42,cmdi,anom
ls$(rm -rf /tmp/test$($SHELL$(ps aux,36,cmdi,anom
uname -a2>&1rm -rf /tmp/test2>&1$SHELL,38,cmdi,anom
ps aux&>rm -rf /tmp/test&>export PATH=/malicious/path&>whoami,61,cmdi,anom
uname -a|rm -rf /tmp/test|$SHELL,32,cmdi,anom
ps aux$(rm -rf /tmp/test$($HOME$(whoami,39,cmdi,anom
id||rm -rf /tmp/test||ps aux,28,cmdi,anom
ps aux&>rm -rf /tmp/test&>APPHOME=/tmp/malicious&>whoami,56,cmdi,anom
whoami&&rm -rf /tmp/test&&$SHELL,32,cmdi,anom
ls&&rm -rf /tmp/test,20,cmdi,anom
df -h&>rm -rf /tmp/test&>$PATH&>uname -a,40,cmdi,anom
uname -a2>&1rm -rf /tmp/test2>&1export PATH=/malicious/path,59,cmdi,anom
ps aux>rm -rf /tmp/test>$PWD>ls,31,cmdi,anom
id&&rm -rf /tmp/test&&$HOME&&ls,31,cmdi,anom
ps aux|rm -rf /tmp/test|$SHELL|ps aux,37,cmdi,anom
ps aux&&rm -rf /tmp/test&&df -h,31,cmdi,anom
df -h$(rm -rf /tmp/test$($HOME,30,cmdi,anom
id||rm -rf /tmp/test||$HOME||df -h,34,cmdi,anom
ls2>&1rm -rf /tmp/test,22,cmdi,anom
ls&>rm -rf /tmp/test,20,cmdi,anom
ls$(rm -rf /tmp/test$(uname -a,30,cmdi,anom
df -h2>&1rm -rf /tmp/test2>&1$HOME2>&1ls,40,cmdi,anom
ls2>&1rm -rf /tmp/test2>&1$HOME2>&1ls,37,cmdi,anom
df -h|rm -rf /tmp/test|$PATH,28,cmdi,anom
id&>rm -rf /tmp/test&>$SHELL&>cat /etc/passwd,45,cmdi,anom
id<rm -rf /tmp/test<export PATH=/malicious/path,47,cmdi,anom
ps aux&>rm -rf /tmp/test&>$SHELL&>ps aux,40,cmdi,anom
uname -a&&rm -rf /tmp/test&&$PATH&&whoami,41,cmdi,anom
df -h$(rm -rf /tmp/test$(export PATH=/malicious/path$(whoami,60,cmdi,anom
id>rm -rf /tmp/test>$HOME>df -h,31,cmdi,anom
ps aux`rm -rf /tmp/test`$HOME,29,cmdi,anom
whoami&>rm -rf /tmp/test&>export PATH=/malicious/path,53,cmdi,anom
cat /etc/passwd<rm -rf /tmp/test<$USER,38,cmdi,anom
df -h>rm -rf /tmp/test,22,cmdi,anom
whoami||rm -rf /tmp/test||export PATH=/malicious/path||cat /etc/passwd,70,cmdi,anom
df -h>rm -rf /tmp/test>cat /etc/passwd,38,cmdi,anom
whoami>rm -rf /tmp/test>$USER,29,cmdi,anom
uname -a$(rm -rf /tmp/test$($SHELL$(ps aux,42,cmdi,anom
uname -a&>rm -rf /tmp/test&>export PATH=/malicious/path&>id,59,cmdi,anom
whoami&&rm -rf /tmp/test&&export PATH=/malicious/path&&ps aux,61,cmdi,anom
ps aux>rm -rf /tmp/test>id,26,cmdi,anom
ps aux2>&1rm -rf /tmp/test2>&1$PATH,35,cmdi,anom
id|rm -rf /tmp/test|$USER|uname -a,34,cmdi,anom
uname -a>rm -rf /tmp/test>$PATH,31,cmdi,anom
whoami|rm -rf /tmp/test|$HOME,29,cmdi,anom
cat /etc/passwd<rm -rf /tmp/test<export PATH=/malicious/path<df -h,66,cmdi,anom
uname -a;rm -rf /tmp/test;$PATH,31,cmdi,anom
df -h&&rm -rf /tmp/test&&APPHOME=/tmp/malicious,47,cmdi,anom
df -h&&rm -rf /tmp/test&&$HOME,30,cmdi,anom
ls2>&1rm -rf /tmp/test2>&1export PATH=/malicious/path,53,cmdi,anom
whoami`rm -rf /tmp/test`uname -a,32,cmdi,anom
ps aux<rm -rf /tmp/test<APPHOME=/tmp/malicious,46,cmdi,anom
whoami||rm -rf /tmp/test||$USER||uname -a,41,cmdi,anom
